UniqueID	GeneSymbol	Feature_Type	Matched	Name_in_KEGG	KEGG_ID	Similarity	Tie	Selected
Gene_43	Ifngr1	Gene	Yes	Ifngr1	rno:116465	1.0	No	Yes
Gene_44	Il22ra2	Gene	Yes	Il22ra2	rno:444986	1.0	No	Yes
Gene_45	Slc35d3	Gene	Yes	Slc35d3	rno:308717	1.0	No	Yes
Gene_46	Pex7	Gene	Yes	Pex7	rno:308718	1.0	No	Yes
Gene_47	Map3k5	Gene	Yes	Map3k5	rno:365057	1.0	No	Yes
Gene_48	Map7	Gene	Yes	Map7	rno:293016	1.0	No	Yes
Gene_49	Mtfr2	Gene	Yes	Mtfr2	rno:100911069	1.0	No	Yes
Gene_49	Bclaf1	Gene	Yes	Bclaf1	rno:293017	1.0	No	Yes
Gene_50	Pde7b	Gene	Yes	Pde7b	rno:140929	1.0	No	Yes
Gene_51	Ahi1	Gene	Yes	Ahi1	rno:308923	1.0	No	Yes
Gene_52	Myb	Gene	Yes	Mybph	rno:83708	0.75	Yes	Yes
Gene_52	Myb	Gene	Yes	Mybl1	rno:297783	0.75	Yes	No
Gene_53	Hbs1l	Gene	Yes	Hbs1l	rno:293408	1.0	No	Yes
Gene_54	Ptprk	Gene	Yes	Ptprk	rno:360302	1.0	No	Yes
Gene_55	LOC103690149	Gene	No	NA	NA	NA	NA	NA
Gene_56	Lama2	Gene	Yes	Lama2	rno:309368	1.0	No	Yes
Gene_57	Arhgap18	Gene	Yes	Arhgap18	rno:293947	1.0	No	Yes
Gene_58	L3mbtl3	Gene	Yes	L3mbtl3	rno:309550	1.0	No	Yes
Gene_59	LOC100360791	Gene	No	NA	NA	NA	NA	NA
Gene_60	Tmem200a	Gene	Yes	Tmem200a	rno:498987	1.0	No	Yes
Gene_61	Epb41l2	Gene	Yes	Epb41l2	rno:309557	1.0	No	Yes
Gene_62	Akap7	Gene	Yes	Akap7	rno:361458	1.0	No	Yes
Gene_63	Arg1	Gene	Yes	Arg1	rno:29221	1.0	No	Yes
Gene_64	Med23	Gene	Yes	Med23	rno:309565	1.0	No	Yes
Gene_65	Enpp3	Gene	Yes	Enpp3	rno:54410	1.0	No	Yes
Gene_66	Enpp1	Gene	Yes	Enpp1	rno:85496	1.0	No	Yes
Gene_67	Ctgf	Gene	Yes	Ctgf	rno:64032	1.0	No	Yes
Gene_68	Moxd1	Gene	Yes	Moxd1	rno:294119	1.0	No	Yes
Gene_69	Stx7	Gene	Yes	Stx7	rno:60466	1.0	No	Yes
Gene_70	Slc18b1	Gene	Yes	Slc18b1	rno:309570	1.0	No	Yes
Gene_71	Rps12	Gene	Yes	Rps12	rno:65139	1.0	No	Yes
Gene_71	LOC100360573	Gene	No	NA	NA	NA	NA	NA
Gene_72	Eya4	Gene	Yes	Eya4	rno:292172	1.0	No	Yes
Gene_73	Tbpl1	Gene	Yes	Tbpl1	rno:689030	1.0	No	Yes
Gene_74	Slc2a12	Gene	Yes	Slc2a12	rno:308028	1.0	No	Yes
Gene_75	Sgk1	Gene	Yes	Sgk1	rno:29517	1.0	No	Yes
Gene_76	AABR07000733.1	Gene	No	NA	NA	NA	NA	NA
Gene_77	Clvs2	Gene	Yes	Clvs2	rno:361459	1.0	No	Yes
Gene_78	LOC102551716	Gene	No	NA	NA	NA	NA	NA
Gene_79	Rnf217	Gene	Yes	Rnf217	rno:292188	1.0	No	Yes
Gene_80	Tpd52l1	Gene	Yes	Tpd52l1	rno:689256	1.0	No	Yes
Gene_81	Hddc2	Gene	Yes	Hddc2	rno:361462	1.0	No	Yes
Gene_82	Hey2	Gene	Yes	Hey2	rno:155430	1.0	No	Yes
Gene_83	Ncoa7	Gene	Yes	Ncoa7	rno:498995	1.0	No	Yes
Gene_84	Hint3	Gene	Yes	Hint3	rno:246769	1.0	No	Yes
Gene_85	Trmt11	Gene	Yes	Trmt11	rno:378794	1.0	No	Yes
Gene_86	Rnf146	Gene	Yes	Rnf146	rno:308051	1.0	No	Yes
Gene_87	Echdc1	Gene	Yes	Echdc1	rno:361465	1.0	No	Yes
Gene_88	Kiaa0408L	Gene	No	NA	NA	NA	NA	NA
Gene_89	Soga3	Gene	Yes	Soga3	rno:292199	1.0	No	Yes
Gene_90	Ccdc127	Gene	Yes	Ccdc127	rno:308060	1.0	No	Yes
Gene_91	Sdha	Gene	Yes	Sdha	rno:157074	1.0	No	Yes
Gene_92	Pdcd6	Gene	Yes	Pdcd6	rno:308061	1.0	No	Yes
Gene_93	Exoc3	Gene	Yes	Exoc3	rno:252881	1.0	No	Yes
Gene_94	Slc9a3	Gene	Yes	Slc9a3	rno:24784	1.0	No	Yes
Gene_95	Tppp	Gene	Yes	Tppp	rno:361466	1.0	No	Yes
Gene_96	Brd9	Gene	Yes	Brd9	rno:308067	1.0	No	Yes
Gene_97	Trip13	Gene	Yes	Trip13	rno:292206	1.0	No	Yes
Gene_98	Nkd2	Gene	Yes	Nkd2	rno:308068	1.0	No	Yes
Gene_99	Slc12a7	Gene	Yes	Slc12a7	rno:308069	1.0	No	Yes
Gene_100	Clptm1l	Gene	Yes	Clptm1l	rno:316916	1.0	No	Yes
Gene_101	Lpcat1	Gene	Yes	Lpcat1	rno:361467	1.0	No	Yes
Gene_102	Irx2	Gene	Yes	Irx2	rno:306657	1.0	No	Yes
Gene_103	Irx1	Gene	Yes	Irx1	rno:306659	1.0	No	Yes
Gene_104	Adamts16	Gene	Yes	Adamts16	rno:306664	1.0	No	Yes
Gene_105	Ice1	Gene	Yes	Ice1	rno:306665	1.0	No	Yes
Gene_106	LOC679881	Gene	No	NA	NA	NA	NA	NA
Gene_107	Med10	Gene	Yes	Med10	rno:290939	1.0	No	Yes
Gene_108	Ube2ql1	Gene	Yes	Ube2ql1	rno:679949	1.0	No	Yes
Gene_109	Nsun2	Gene	Yes	Nsun2	rno:361191	1.0	No	Yes
Gene_110	Srd5a1	Gene	Yes	Srd5a1	rno:24950	1.0	No	Yes
Gene_111	Tent4a	Gene	No	NA	NA	NA	NA	NA
Gene_112	AABR07001064.1	Gene	No	NA	NA	NA	NA	NA
Gene_113	AABR07001068.1	Gene	No	NA	NA	NA	NA	NA
Gene_114	Adcy2	Gene	Yes	Adcy2	rno:81636	1.0	No	Yes
Gene_115	Fastkd3	Gene	Yes	Fastkd3	rno:290946	1.0	No	Yes
Gene_116	Mtrr	Gene	Yes	Mtrr	rno:290947	1.0	No	Yes
Gene_117	LOC680200	Gene	No	NA	NA	NA	NA	NA
Gene_118	AABR07001099.2	Gene	No	NA	NA	NA	NA	NA
Gene_119	AABR07001099.1	Gene	No	NA	NA	NA	NA	NA
Gene_120	LOC102549842	Gene	No	NA	NA	NA	NA	NA
Gene_121	LOC102547287	Gene	No	NA	NA	NA	NA	NA
Gene_122	AABR07001100.1	Gene	No	NA	NA	NA	NA	NA
Gene_123	LOC102551340	Gene	No	NA	NA	NA	NA	NA
Gene_124	LOC501406	Gene	No	NA	NA	NA	NA	NA
Gene_125	Ppp1r14c	Gene	Yes	Ppp1r14c	rno:171010	1.0	No	Yes
Gene_126	Plekhg1	Gene	Yes	Plekhg1	rno:679812	1.0	No	Yes
Gene_127	Mthfd1l	Gene	Yes	Mthfd1l	rno:361472	1.0	No	Yes
Gene_128	Akap12	Gene	Yes	Akap12	rno:83425	1.0	No	Yes
Gene_129	Zbtb2	Gene	Yes	Zbtb2	rno:308126	1.0	No	Yes
Gene_130	Rmnd1	Gene	Yes	Rmnd1	rno:292268	1.0	No	Yes
Gene_131	Armt1	Gene	Yes	Armt1	rno:292267	1.0	No	Yes
Gene_132	Ccdc170	Gene	Yes	Ccdc170	rno:292266	1.0	No	Yes
Gene_133	Syne1	Gene	Yes	Syne1	rno:499010	1.0	No	Yes
Gene_134	Fbxo5	Gene	Yes	Fbxo5	rno:292263	1.0	No	Yes
Gene_135	Mtrf1l	Gene	Yes	Mtrf1l	rno:361473	1.0	No	Yes
Gene_136	Rgs17	Gene	Yes	Rgs17	rno:308118	1.0	No	Yes
Gene_137	AABR07001432.1	Gene	No	NA	NA	NA	NA	NA
Gene_138	Ipcef1	Gene	Yes	Ipcef1	rno:361474	1.0	No	Yes
Gene_139	Cnksr3	Gene	Yes	Cnksr3	rno:308113	1.0	No	Yes
Gene_140	AABR07001435.1	Gene	No	NA	NA	NA	NA	NA
Gene_141	Scaf8	Gene	Yes	Scaf8	rno:245926	1.0	No	Yes
Gene_142	AABR07001444.1	Gene	No	NA	NA	NA	NA	NA
Gene_143	Tiam2	Gene	Yes	Tiam2	rno:100362710	1.0	No	Yes
Gene_144	Tfb1m	Gene	Yes	Tfb1m	rno:308140	1.0	No	Yes
Gene_145	Arid1b	Gene	Yes	Arid1b	rno:282546	1.0	No	Yes
Gene_146	Tmem242	Gene	Yes	Tmem242	rno:292228	1.0	No	Yes
Gene_147	Zdhhc14	Gene	Yes	Zdhhc14	rno:499014	1.0	No	Yes
Gene_148	Snx9	Gene	Yes	Snx9	rno:683687	1.0	No	Yes
Gene_149	Synj2	Gene	Yes	Synj2	rno:84018	1.0	No	Yes
Gene_150	Serac1	Gene	Yes	Serac1	rno:499015	1.0	No	Yes
Gene_151	Gtf2h5	Gene	Yes	Gtf2h5	rno:502227	1.0	No	Yes
Gene_152	Tulp4	Gene	Yes	Tulp4	rno:499016	1.0	No	Yes
Gene_153	Tmem181	Gene	Yes	Tmem181	rno:502228	1.0	No	Yes
Gene_154	Dynlt1	Gene	Yes	Dynlt1	rno:83462	1.0	No	Yes
Gene_155	Sytl3	Gene	Yes	Sytl3	rno:499017	1.0	No	Yes
Gene_156	Ezr	Gene	Yes	Ezr	rno:54319	1.0	No	Yes
Gene_157	Rsph3	Gene	Yes	Rsph3	rno:361476	1.0	No	Yes
Gene_158	RGD1560015	Gene	Yes	RGD1560015	rno:499018	1.0	No	Yes
Gene_159	Fndc1	Gene	Yes	Fndc1	rno:308099	1.0	No	Yes
Gene_160	Sod2	Gene	Yes	Sod2	rno:24787	1.0	No	Yes
Gene_161	Wtap	Gene	Yes	Wtap	rno:499020	1.0	No	Yes
Gene_162	Acat2	Gene	Yes	Acat2	rno:308100	1.0	No	Yes
Gene_163	Acat2l1	Gene	Yes	Acat2l1	rno:365096	1.0	No	Yes
Gene_164	Tcp1	Gene	Yes	Tcp1	rno:24818	1.0	No	Yes
Gene_165	Mrpl18	Gene	Yes	Mrpl18	rno:292244	1.0	No	Yes
Gene_166	Pnldc1	Gene	Yes	Pnldc1	rno:361478	1.0	No	Yes
Gene_167	Igf2r	Gene	Yes	Igf2r	rno:25151	1.0	No	Yes
Gene_168	Slc22a2	Gene	Yes	Slc22a2	rno:29503	1.0	No	Yes
Gene_169	Map3k4	Gene	Yes	Map3k4	rno:308106	1.0	No	Yes
Gene_170	Agpat4	Gene	Yes	Agpat4	rno:170919	1.0	No	Yes
Gene_171	AABR07001519.1	Gene	No	NA	NA	NA	NA	NA
Gene_172	Qk	Gene	Yes	Qk	rno:499022	1.0	No	Yes
Gene_173	AABR07001555.1	Gene	No	NA	NA	NA	NA	NA
Gene_174	Pde10a	Gene	Yes	Pde10a	rno:63885	1.0	No	Yes
Gene_175	T2	Gene	Yes	T2	rno:681288	1.0	No	Yes
Gene_176	Prr18	Gene	Yes	Prr18	rno:361481	1.0	No	Yes
Gene_177	Sft2d1	Gene	Yes	Sft2d1	rno:292305	1.0	No	Yes
Gene_178	Mpc1	Gene	Yes	Mpc1	rno:171087	1.0	No	Yes
Gene_179	Fgfr1op	Gene	Yes	Fgfr1op	rno:683722	1.0	No	Yes
Gene_180	Rnaset2	Gene	Yes	Rnaset2	rno:292306	1.0	No	Yes
Gene_181	Rps6ka2	Gene	Yes	Rps6ka2	rno:117269	1.0	No	Yes
Gene_182	Afdn	Gene	Yes	Afdn	rno:26955	1.0	No	Yes
Gene_183	AABR07001591.1	Gene	No	NA	NA	NA	NA	NA
Gene_184	AABR07001634.1	Gene	No	NA	NA	NA	NA	NA
Gene_185	AABR07001734.1	Gene	No	NA	NA	NA	NA	NA
Gene_186	Dact2	Gene	Yes	Dact2	rno:308212	1.0	No	Yes
Gene_187	Thbs2	Gene	Yes	Thbs2	rno:292406	1.0	No	Yes
Gene_188	Wdr27	Gene	Yes	Wdr27	rno:308222	1.0	No	Yes
Gene_189	RF00105	Gene	No	NA	NA	NA	NA	NA
Gene_190	LOC100125364	Gene	No	NA	NA	NA	NA	NA
Gene_191	Phf10	Gene	Yes	Phf10	rno:292404	1.0	No	Yes
Gene_192	Ermard	Gene	Yes	Ermard	rno:361485	1.0	No	Yes
Gene_193	Dll1	Gene	Yes	Dll1	rno:84010	1.0	No	Yes
Gene_194	Fam120b	Gene	Yes	Fam120b	rno:308218	1.0	No	Yes
Gene_195	Psmb1	Gene	Yes	Psmb1	rno:94198	1.0	No	Yes
Gene_196	Tbp	Gene	Yes	Tbp	rno:117526	1.0	No	Yes
Gene_197	Pdcd2	Gene	Yes	Pdcd2	rno:58934	1.0	No	Yes
Gene_198	Prdm9	Gene	Yes	Prdm9	rno:365155	1.0	No	Yes
Gene_199	Chd1	Gene	Yes	Chd1	rno:308215	1.0	No	Yes
Gene_200	Rgmb	Gene	Yes	Rgmb	rno:681433	1.0	No	Yes
Gene_201	Riok2	Gene	Yes	Riok2	rno:308201	1.0	No	Yes
Gene_202	Lix1	Gene	Yes	Lix1	rno:292381	1.0	No	Yes
Gene_203	Spaca6	Gene	Yes	Spaca6	rno:688452	1.0	No	Yes
Gene_204	Ppp2r1a	Gene	Yes	Ppp2r1a	rno:117281	1.0	No	Yes
Gene_205	LOC100365363	Gene	No	NA	NA	NA	NA	NA
Gene_206	LOC102552527	Gene	No	NA	NA	NA	NA	NA
Gene_207	Zfp51	Gene	Yes	Zfp51	rno:308232	1.0	No	Yes
Gene_208	AABR07001896.1	Gene	No	NA	NA	NA	NA	NA
Gene_209	Zfp52	Gene	Yes	Zfp52	rno:361487	1.0	No	Yes
Gene_210	LOC108348215	Gene	No	NA	NA	NA	NA	NA
Gene_211	Znf761	Gene	Yes	Znf761	rno:499056	1.0	No	Yes
Gene_212	AABR07001905.2	Gene	No	NA	NA	NA	NA	NA
Gene_213	AABR07001905.1	Gene	No	NA	NA	NA	NA	NA
Gene_214	AABR07001910.1	Gene	No	NA	NA	NA	NA	NA
Gene_215	AABR07001923.1	Gene	No	NA	NA	NA	NA	NA
Gene_216	LOC102555377	Gene	No	NA	NA	NA	NA	NA
Gene_217	AABR07001926.3	Gene	No	NA	NA	NA	NA	NA
Gene_218	AABR07001929.1	Gene	No	NA	NA	NA	NA	NA
Gene_219	Zfp40	Gene	Yes	Zfp40	rno:690661	1.0	No	Yes
Gene_220	Rps9l1	Gene	No	NA	NA	NA	NA	NA
Gene_220	Rps9	Gene	Yes	Rps9	rno:81772	1.0	No	Yes
Gene_221	Mboat7l1	Gene	Yes	Mboat7l1	rno:103689982	1.0	No	Yes
Gene_222	Leng1	Gene	Yes	Leng1	rno:292535	1.0	No	Yes
Gene_223	Cnot3	Gene	Yes	Cnot3	rno:308311	1.0	No	Yes
Gene_224	Prpf31	Gene	Yes	Prpf31	rno:292536	1.0	No	Yes
Gene_225	Tfpt	Gene	Yes	Tfpt	rno:85423	1.0	No	Yes
Gene_226	Ndufa3	Gene	Yes	Ndufa3	rno:691001	1.0	No	Yes
Gene_227	Cacng8	Gene	Yes	Cacng8	rno:140729	1.0	No	Yes
Gene_228	Cacng7	Gene	Yes	Cacng7	rno:140728	1.0	No	Yes
Gene_229	Prkcg	Gene	Yes	Prkcg	rno:24681	1.0	No	Yes
Gene_230	Myadm	Gene	Yes	Myadm	rno:369016	1.0	No	Yes
Gene_231	LOC103691005	Gene	No	NA	NA	NA	NA	NA
Gene_232	Mzf1	Gene	Yes	Mzf1	rno:361508	1.0	No	Yes
Gene_233	Ube2m	Gene	Yes	Ube2m	rno:361509	1.0	No	Yes
Gene_234	Chmp2a	Gene	Yes	Chmp2a	rno:365191	1.0	No	Yes
Gene_235	Trim28	Gene	Yes	Trim28	rno:116698	1.0	No	Yes
Gene_236	Zbtb45	Gene	Yes	Zbtb45	rno:308366	1.0	No	Yes
Gene_237	AABR07002065.2	Gene	No	NA	NA	NA	NA	NA
Gene_238	AABR07002065.1	Gene	No	NA	NA	NA	NA	NA
Gene_239	Zfp324	Gene	Yes	Zfp324	rno:365192	1.0	No	Yes
Gene_240	Rps5	Gene	Yes	Rps5	rno:25538	1.0	No	Yes
Gene_241	Zscan22	Gene	Yes	Zscan22	rno:102553002	1.0	No	Yes
Gene_242	Zfp128	Gene	Yes	Zfp128	rno:102553002	1.0	No	Yes
Gene_243	Zfp110	Gene	Yes	Zfp110	rno:308362	1.0	No	Yes
Gene_244	Zfp329	Gene	Yes	Zfp329	rno:308361	1.0	No	Yes
Gene_245	Zscan18	Gene	Yes	Zscan18	rno:499083	1.0	No	Yes
Gene_246	AABR07002093.1	Gene	No	NA	NA	NA	NA	NA
Gene_247	Zfp606	Gene	Yes	Zfp606	rno:292610	1.0	No	Yes
Gene_248	Zfp551	Gene	Yes	Zfp551	rno:682964	1.0	No	Yes
Gene_249	Zfp418	Gene	Yes	Zfp418	rno:292548	1.0	No	Yes
Gene_250	AABR07002247.1	Gene	No	NA	NA	NA	NA	NA
Gene_251	Zfp978	Gene	Yes	Zfp978	rno:308318	1.0	No	Yes
Gene_252	LOC108349745	Gene	No	NA	NA	NA	NA	NA
Gene_253	Zfp773-ps1	Gene	Yes	Zfp773-ps1	rno:502292	1.0	No	Yes
Gene_254	Zfp772	Gene	Yes	Zfp772	rno:308320	1.0	No	Yes
Gene_255	Aurkc	Gene	Yes	Aurkc	rno:292554	1.0	No	Yes
Gene_256	Usp29	Gene	Yes	Usp29	rno:361495	1.0	No	Yes
Gene_257	RF02151	Gene	No	NA	NA	NA	NA	NA
Gene_258	Peg3	Gene	Yes	Peg3	rno:103691034	1.0	No	Yes
Gene_259	Zim1	Gene	Yes	Zim1	rno:308322	1.0	No	Yes
Gene_260	Smim17	Gene	Yes	Smim17	rno:499067	1.0	No	Yes
Gene_261	Zfp28	Gene	Yes	Zfp28	rno:690559	1.0	No	Yes
Gene_262	Zfp78	Gene	Yes	Zfp78	rno:103690110	1.0	No	Yes
Gene_263	AABR07002337.1	Gene	No	NA	NA	NA	NA	NA
Gene_264	Zfp583	Gene	Yes	Zfp583	rno:499068	1.0	No	Yes
Gene_265	Zfp667	Gene	Yes	Zfp667	rno:308326	1.0	No	Yes
Gene_266	Zfp444	Gene	Yes	Zfp444	rno:292569	1.0	No	Yes
Gene_267	Zfp787	Gene	Yes	Zfp787	rno:365176	1.0	No	Yes
Gene_268	Epn1	Gene	Yes	Epn1	rno:117277	1.0	No	Yes
Gene_269	U2af2	Gene	Yes	U2af2	rno:308335	1.0	No	Yes
Gene_270	Ccdc106	Gene	Yes	Ccdc106	rno:499071	1.0	No	Yes
Gene_271	Zfp580	Gene	Yes	Zfp580	rno:308336	1.0	No	Yes
Gene_272	Zfp865	Gene	Yes	Zfp865	rno:308337	1.0	No	Yes
Gene_273	AABR07002384.1	Gene	No	NA	NA	NA	NA	NA
Gene_274	LOC100911196	Gene	No	NA	NA	NA	NA	NA
Gene_275	Zfp524	Gene	Yes	Zfp524	rno:365179	1.0	No	Yes
Gene_276	Fiz1	Gene	Yes	Fiz1	rno:292584	1.0	No	Yes
Gene_277	Zfp579	Gene	Yes	Zfp579	rno:308339	1.0	No	Yes
Gene_278	Ssc5d	Gene	Yes	Ssc5d	rno:308341	1.0	No	Yes
Gene_279	Nat14	Gene	Yes	Nat14	rno:361500	1.0	No	Yes
Gene_280	Zfp628	Gene	Yes	Zfp628	rno:100359484	1.0	No	Yes
Gene_281	LOC684270	Gene	No	NA	NA	NA	NA	NA
Gene_282	Isoc2b	Gene	Yes	Isoc2b	rno:361501	1.0	No	Yes
Gene_283	Shisa7	Gene	Yes	Shisa7	rno:691429	1.0	No	Yes
Gene_284	Ube2s	Gene	Yes	Ube2s	rno:292588	1.0	No	Yes
Gene_285	Rpl28	Gene	Yes	Rpl28	rno:64638	1.0	No	Yes
Gene_286	Kmt5c	Gene	Yes	Kmt5c	rno:308345	1.0	No	Yes
Gene_287	Brsk1	Gene	Yes	Brsk1	rno:499073	1.0	No	Yes
Gene_288	Hspbp1	Gene	Yes	Hspbp1	rno:246146	1.0	No	Yes
Gene_289	Ppp6r1	Gene	Yes	Ppp6r1	rno:361502	1.0	No	Yes
Gene_290	Tmem86b	Gene	Yes	Tmem86b	rno:690610	1.0	No	Yes
Gene_291	Syt5	Gene	Yes	Syt5	rno:54309	1.0	No	Yes
Gene_292	Dnaaf3	Gene	Yes	Dnaaf3	rno:100359753	1.0	No	Yes
Gene_293	Tnnt1	Gene	Yes	Tnnt1	rno:171409	1.0	No	Yes
Gene_294	Ppp1r12c	Gene	Yes	Ppp1r12c	rno:499076	1.0	No	Yes
Gene_295	Rdh13	Gene	Yes	Rdh13	rno:361504	1.0	No	Yes
Gene_296	Cdc42ep5	Gene	Yes	Cdc42ep5	rno:361505	1.0	No	Yes
Gene_297	Leng9	Gene	Yes	Leng9	rno:100912286	1.0	No	Yes
Gene_298	Leng8	Gene	Yes	Leng8	rno:361506	1.0	No	Yes
Gene_299	Ttyh1	Gene	Yes	Ttyh1	rno:292597	1.0	No	Yes
Gene_300	Zswim9	Gene	No	NA	NA	NA	NA	NA
Gene_301	Lig1	Gene	Yes	Lig1	rno:81513	1.0	No	Yes
Gene_302	AABR07002564.1	Gene	No	NA	NA	NA	NA	NA
Gene_303	Selenow	Gene	Yes	Selenow	rno:25545	1.0	No	Yes
Gene_304	Nop53	Gene	No	NA	NA	NA	NA	NA
Gene_305	Ehd2	Gene	Yes	Ehd2	rno:192249	1.0	No	Yes
Gene_306	Bicra	Gene	No	NA	NA	NA	NA	NA
Gene_307	Napa	Gene	Yes	Napa	rno:140673	1.0	No	Yes
Gene_308	Kptn	Gene	Yes	Kptn	rno:308107	1.0	No	Yes
Gene_309	Slc8a2	Gene	Yes	Slc8a2	rno:140447	1.0	No	Yes
Gene_310	Meis3	Gene	Yes	Meis3	rno:361514	1.0	No	Yes
Gene_311	Dhx34	Gene	Yes	Dhx34	rno:684903	1.0	No	Yes
Gene_312	Inafm1	Gene	Yes	Inafm1	rno:100192314	1.0	No	Yes
Gene_313	Ccdc9	Gene	Yes	Ccdc9	rno:684934	1.0	No	Yes
Gene_314	Sae1	Gene	Yes	Sae1	rno:308384	1.0	No	Yes
Gene_315	Zc3h4	Gene	Yes	Zc3h4	rno:678741	1.0	No	Yes
Gene_316	Tmem160	Gene	Yes	Tmem160	rno:292654	1.0	No	Yes
Gene_317	Arhgap35	Gene	Yes	Arhgap35	rno:306400	1.0	No	Yes
Gene_318	Ap2s1	Gene	Yes	Ap2s1	rno:65046	1.0	No	Yes
Gene_319	Slc1a5	Gene	Yes	Slc1a5	rno:292657	1.0	No	Yes
Gene_320	Fkrp	Gene	Yes	Fkrp	rno:308390	1.0	No	Yes
Gene_321	Strn4	Gene	Yes	Strn4	rno:308392	1.0	No	Yes
Gene_322	Prkd2	Gene	Yes	Prkd2	rno:292658	1.0	No	Yes
Gene_323	Dact3	Gene	Yes	Dact3	rno:499088	1.0	No	Yes
Gene_324	Gng8	Gene	Yes	Gng8	rno:245986	1.0	No	Yes
Gene_325	Calm3	Gene	Yes	Calm3	rno:24244	1.0	No	Yes
Gene_326	Pnma8b	Gene	No	NA	NA	NA	NA	NA
Gene_327	Pnma8a	Gene	No	NA	NA	NA	NA	NA
Gene_328	Ccdc8	Gene	Yes	Ccdc8	rno:494320	1.0	No	Yes
Gene_329	Ppp5c	Gene	Yes	Ppp5c	rno:65179	1.0	No	Yes
Gene_330	Micb	Gene	Yes	Micb	rno:365212	1.0	No	Yes
Gene_331	Ccdc61	Gene	Yes	Ccdc61	rno:292680	1.0	No	Yes
Gene_332	Nova2	Gene	Yes	Nova2	rno:292681	1.0	No	Yes
Gene_333	Mypop	Gene	Yes	Mypop	rno:499090	1.0	No	Yes
Gene_334	Irf2bp1	Gene	Yes	Irf2bp1	rno:308404	1.0	No	Yes
Gene_335	Sympk	Gene	Yes	Sympk	rno:292683	1.0	No	Yes
Gene_336	Dmwd	Gene	Yes	Dmwd	rno:292684	1.0	No	Yes
